ID,Year_Birth,Education,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,IncomeRaw,Living_With,Children,Family_Size,Is_Parent
7892,1979,Graduate,0.15052140994964466,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,18589.0,Alone,0,1,0
2404,1986,Graduate,0.4609567515445877,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,53359.0,Partner,2,4,1
9422,1999,Graduate,0.3270418913610228,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,38360.0,Partner,1,3,1
1966,1975,Postgraduate,0.7400449983929145,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,84618.0,Partner,0,2,0
6864,1999,Postgraduate,0.08257740794971609,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,10979.0,Alone,0,1,0
3033,1973,Postgraduate,0.329363237027249,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,38620.0,Partner,0,2,0
5710,1980,Graduate,0.34657690796757257,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,0,40548.0,Partner,1,3,1
7373,1962,Postgraduate,0.4006999750008928,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,1,46610.0,Alone,2,3,1
8755,1956,Postgraduate,0.5975411592443126,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,68657.0,Partner,0,2,0
10738,1961,Postgraduate,0.425511588871826,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,49389.0,Alone,2,3,1
4339,1980,Postgraduate,0.585898717902932,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,67353.0,Partner,1,3,1
10755,1986,Undergraduate,0.19631441734223778,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,23718.0,Partner,1,3,1
8595,1983,Graduate,0.3633709510374629,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,42429.0,Alone,1,2,1
2968,1953,Postgraduate,0.42157422949180384,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,0,1,48948.0,Alone,0,1,0
8601,1990,Graduate,0.6989125388378986,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,80011.0,Partner,1,3,1
503,1995,Postgraduate,0.1681100674975894,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,20559.0,Partner,1,3,1
8430,1967,Graduate,0.18092210992464555,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,21994.0,Partner,1,3,1
2139,1985,Postgraduate,0.051516017285096964,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,7500.0,Partner,1,3,1
1371,1986,Graduate,0.69828756115853,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,79941.0,Alone,0,1,0
9909,2006,Undergraduate,0.051516017285096964,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,1,7500.0,Partner,0,2,0
7286,1978,Graduate,0.3571122459912146,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,41728.0,Partner,1,3,1
6566,1964,Postgraduate,0.6322988464697689,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,72550.0,Partner,2,4,1
8614,1967,Graduate,0.5692296703689154,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,65486.0,Alone,1,2,1
4114,1974,Postgraduate,0.691162815613728,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,79143.0,Partner,0,2,0
1331,1987,Graduate,0.304096282275633,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,35790.0,Alone,1,2,1
2225,1987,Graduate,0.7218670761758508,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,0,1,82582.0,Alone,0,1,0
9381,1988,Graduate,0.5771490303917717,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,66373.0,Partner,2,4,1
6260,1965,Postgraduate,0.720099282168494,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,1,82384.0,Partner,0,2,0
10383,1976,Graduate,0.6120942109210384,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,1,70287.0,Alone,0,1,0
7437,1998,Graduate,0.2339916431556016,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,27938.0,Alone,1,2,1
8375,1978,Postgraduate,0.4841255669440377,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,55954.0,Partner,1,3,1
6853,1992,Postgraduate,0.661110317488661,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,75777.0,Alone,0,1,0
3076,1985,Graduate,0.579648941109246,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,66653.0,Partner,2,4,1
1012,1962,Graduate,0.5365254812328131,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,61823.0,Alone,1,2,1
6518,1961,Postgraduate,0.5888182564908395,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,67680.0,Alone,1,2,1
4137,1958,Graduate,0.6154780186421913,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,70666.0,Partner,0,2,0
8082,1981,Graduate,0.21419770722474196,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,1,25721.0,Partner,1,3,1
1386,1977,Graduate,0.27449019677868647,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,32474.0,Partner,2,4,1
9369,1989,Undergraduate,0.7719724295560872,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,0,1,88194.0,Alone,1,2,1
4477,1968,Graduate,0.60146066211921,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,69096.0,Partner,1,3,1
1357,1980,Graduate,0.652869540373558,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,74854.0,Partner,3,5,1
1402,1964,Postgraduate,0.5826666904753401,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,66991.0,Partner,0,2,0
6312,1969,Graduate,0.5651673154530195,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,65031.0,Partner,1,3,1
8132,1985,Postgraduate,0.5258830041784222,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,0,60631.0,Partner,2,4,1
1050,1962,Graduate,0.2375093746651905,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,28332.0,Partner,0,2,0
5846,1987,Graduate,0.3438805756937252,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,40246.0,Alone,1,2,1
1859,1982,Postgraduate,0.6564140566408342,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,1,75251.0,Partner,0,2,0
7503,1986,Graduate,0.6615388736116566,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,75825.0,Alone,0,1,0
10401,1986,Undergraduate,0.2195993000249991,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,1,0,26326.0,Partner,0,2,0
1618,1975,Graduate,0.48494696617977934,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,0,1,56046.0,Partner,0,2,0
3332,1995,Graduate,0.2502589193243098,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,29760.0,Alone,1,2,1
2261,1979,Graduate,0.21940287846862613,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,26304.0,Partner,1,3,1
5346,1983,Undergraduate,0.19489482518481482,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,23559.0,Partner,1,3,1
4119,1973,Postgraduate,0.329363237027249,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,38620.0,Partner,0,2,0
535,1997,Graduate,0.7109656797971501,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,81361.0,Alone,0,1,0
5268,1970,Graduate,0.24740187850433915,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,29440.0,Partner,2,4,1
273,1980,Postgraduate,0.3072033141673512,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,0,36138.0,Partner,2,4,1
4452,1967,Graduate,0.4344309131816721,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,50388.0,Alone,1,2,1
8504,1983,Graduate,0.6951805292668118,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,79593.0,Partner,0,2,0
771,1977,Graduate,0.46826899039320025,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,54178.0,Partner,1,3,1
11178,1982,Postgraduate,0.36305846219777865,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,42394.0,Alone,1,2,1
2230,1980,Postgraduate,0.1954930181064962,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,23626.0,Partner,1,3,1
7516,1993,Graduate,0.2532588121852791,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,30096.0,Partner,1,3,1
7247,1970,Graduate,0.4123602728473983,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,0,47916.0,Alone,1,2,1
11100,1982,Graduate,0.44715367308310416,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,51813.0,Alone,2,3,1
4646,1961,Undergraduate,0.6853951644584121,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,78497.0,Partner,0,2,0
3037,1993,Postgraduate,0.4323059890718189,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,50150.0,Partner,0,2,0
1473,1970,Undergraduate,0.4115299453590943,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,47823.0,Alone,1,2,1
1016,1969,Postgraduate,0.29306096210849614,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,34554.0,Alone,1,2,1
4518,1989,Graduate,0.7496428698975036,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,85693.0,Partner,1,3,1
9370,1955,Postgraduate,0.5724438412913824,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,65846.0,Partner,0,2,0
8908,1969,Graduate,0.7630531052462411,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,1,87195.0,Partner,0,2,0
8373,1989,Undergraduate,0.20413556658690762,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,24594.0,Partner,1,3,1
7533,1974,Graduate,0.42289561087104033,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,49096.0,Partner,2,4,1
2683,1979,Graduate,0.45251062462054925,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,52413.0,Partner,2,4,1
3629,1988,Graduate,0.3288007571158173,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,38557.0,Alone,1,2,1
10991,1970,Postgraduate,0.7796864397700082,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,89058.0,Partner,0,2,0
5077,1989,Graduate,0.6746901896360844,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,77298.0,Partner,1,3,1
7431,2001,Postgraduate,0.5928002571336738,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,68126.0,Alone,0,1,0
3267,1973,Postgraduate,0.49603585586229065,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,0,57288.0,Partner,1,3,1
999,2001,Graduate,0.7527141887789721,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,86037.0,Alone,0,1,0
9215,1990,Postgraduate,0.3771651012463841,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,43974.0,Partner,1,3,1
2286,1972,Graduate,0.43797542944894824,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,50785.0,Alone,2,3,1
1592,1980,Graduate,0.7949269668940394,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,90765.0,Partner,0,2,0
367,1988,Undergraduate,0.31088175422306347,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,36550.0,Partner,1,3,1
5234,1977,Undergraduate,0.2591246741187815,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,30753.0,Partner,2,4,1
9862,1979,Graduate,0.1802435627299025,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,21918.0,Partner,1,3,1
9805,1963,Postgraduate,0.48568801114245924,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,56129.0,Partner,1,3,1
6205,1977,Postgraduate,0.2752312417413664,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,1,32557.0,Alone,1,2,1
8442,1995,Postgraduate,0.15874433055962286,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,19510.0,Partner,2,4,1
7386,1986,Graduate,0.26125852648119713,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,30992.0,Alone,1,2,1
7215,1993,Graduate,0.8949680368558265,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,101970.0,Alone,0,1,0
1491,1975,Undergraduate,0.6228170422484911,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,71488.0,Partner,0,2,0
11071,1994,Graduate,0.6953055248026856,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,1,79607.0,Alone,0,1,0
3381,1963,Postgraduate,0.4697867933288097,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,54348.0,Partner,2,4,1
11051,1966,Postgraduate,0.6753865933359522,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,77376.0,Partner,2,4,1
8026,1962,Graduate,0.547016177993643,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,62998.0,Partner,1,3,1
433,1968,Postgraduate,0.532132780972108,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,61331.0,Alone,2,3,1
9597,1979,Graduate,0.6403164172708117,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,73448.0,Partner,0,2,0
5290,1974,Postgraduate,0.3555319452876683,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,41551.0,Partner,2,4,1
1685,1977,Postgraduate,0.5468643977000821,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,0,62981.0,Partner,0,2,0
5342,1986,Undergraduate,0.06980107853290954,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,9548.0,Alone,1,2,1
9579,1969,Postgraduate,0.2859897860790686,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,33762.0,Partner,3,5,1
7660,1983,Postgraduate,0.3047212599550016,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,0,1,35860.0,Alone,2,3,1
1461,1975,Postgraduate,0.31419413592371703,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,36921.0,Alone,2,3,1
821,2002,Postgraduate,0.8136227277597228,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,92859.0,Alone,0,1,0
11084,1986,Postgraduate,0.5658190778900752,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,1,65104.0,Partner,1,3,1
8690,1972,Graduate,0.7533748794685904,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,86111.0,Partner,0,2,0
2937,1984,Postgraduate,0.594818042212778,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,68352.0,Alone,1,2,1
9701,1998,Graduate,0.3584961251383879,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,41883.0,Partner,1,3,1
9949,1986,Graduate,0.5185439805721224,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,59809.0,Partner,2,4,1
10837,1985,Graduate,0.1984482697046534,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,1,23957.0,Partner,1,3,1
3120,1991,Graduate,0.32871147459019323,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,1,0,38547.0,Partner,1,3,1
5885,1983,Undergraduate,0.30318560051426735,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,35688.0,Partner,3,5,1
4050,1976,Postgraduate,0.42744009142530626,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,49605.0,Partner,0,2,0
3830,1963,Postgraduate,0.5144816256562265,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,59354.0,Partner,2,4,1
7987,1979,Graduate,0.571559944287704,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,0,65747.0,Partner,1,3,1
7798,1982,Undergraduate,0.39832505981929217,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,46344.0,Partner,1,3,1
92,1998,Graduate,0.2896860826399057,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,34176.0,Alone,1,2,1
7055,1962,Postgraduate,0.5292668118995749,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,61010.0,Partner,1,3,1
10240,1959,Graduate,0.6039248598264347,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,69372.0,Partner,0,2,0
3025,1968,Graduate,0.43067211885289813,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,49967.0,Alone,1,2,1
9283,1988,Graduate,0.5220259990714616,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,0,0,60199.0,Alone,3,4,1
9970,1987,Graduate,0.4789561087104032,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,55375.0,Partner,1,3,1
2730,1965,Graduate,0.7016445841219956,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,0,80317.0,Alone,0,1,0
2795,1968,Postgraduate,0.25707117602942753,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,30523.0,Alone,3,4,1
9260,1955,Postgraduate,0.6127102603478447,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,70356.0,Partner,0,2,0
8182,1994,Graduate,0.1919395735866576,2014-01-05,91,53,3,49,7,4,5,4,3,0,4,8,0,0,23228.0,Partner,1,3,1
10095,1985,Postgraduate,0.6467179743580586,2013-05-01,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,74165.0,Alone,0,1,0
4370,1976,Graduate,0.3727724009856791,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6,0,0,43482.0,Partner,3,5,1
10573,1963,Graduate,0.5430252490982465,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3,0,0,62551.0,Alone,0,1,0
3712,1969,Graduate,0.45178743616299416,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4,0,0,52332.0,Alone,0,1,0
6637,1998,Graduate,0.5823095603728438,2013-11-02,46,277,162,305,173,76,124,1,3,4,7,1,0,0,66951.0,Alone,0,1,0
3152,1967,Graduate,0.21750116067283312,2014-02-25,84,15,10,19,8,17,20,3,2,1,3,5,0,0,26091.0,Partner,2,4,1
5610,1975,Graduate,0.2832577407949716,2014-04-21,58,7,3,10,8,1,7,2,1,0,3,7,0,0,33456.0,Partner,2,4,1
6460,1992,Graduate,0.2409556801542802,2013-07-13,78,12,4,6,11,8,16,2,2,0,3,8,0,0,28718.0,Partner,1,3,1
1349,1980,Graduate,0.4349576800828542,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,0,50447.0,Partner,2,4,1
1880,1969,Postgraduate,0.4625459805006964,2014-01-30,17,81,0,6,0,0,6,2,2,1,3,5,0,0,53537.0,Partner,2,4,1
641,1977,Graduate,0.4494839470018928,2014-04-04,77,59,0,12,0,0,48,1,2,2,2,4,0,0,52074.0,Alone,1,2,1
8717,1985,Postgraduate,0.7026266919038605,2012-09-12,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,80427.0,Partner,1,3,1
10314,1958,Postgraduate,0.7330720331416735,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4,0,1,83837.0,Partner,0,2,0
10854,1980,Postgraduate,0.3314435198742902,2014-05-23,90,29,0,14,0,0,2,2,2,0,3,7,0,0,38853.0,Partner,2,4,1
10492,1969,Graduate,0.3263722724188422,2014-06-24,96,2,0,5,2,0,1,1,0,0,3,2,0,0,38285.0,Partner,3,5,1
6935,1961,Undergraduate,0.6853951644584121,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,78497.0,Partner,0,2,0
7698,1986,Postgraduate,0.4456983679154316,2014-05-11,81,152,3,22,2,5,7,1,4,1,4,5,0,0,51650.0,Partner,1,3,1
3559,1998,Undergraduate,0.1296203707010464,2014-05-10,77,12,11,10,3,12,9,3,2,1,3,6,0,0,16248.0,Partner,1,3,1
10562,1956,Postgraduate,0.5812738830756043,2013-09-28,21,620,26,195,34,17,141,1,6,4,13,2,0,0,66835.0,Partner,0,2,0
10796,1994,Postgraduate,0.2566604764115567,2014-01-22,16,47,1,6,0,0,12,1,1,1,3,6,0,0,30477.0,Partner,1,3,1
2563,1971,Undergraduate,0.2367683297025106,2014-06-15,80,1,9,7,2,14,10,1,2,0,3,6,0,0,28249.0,Partner,0,2,0
3518,1993,Graduate,0.21017999357165815,2012-12-05,45,10,1,18,10,4,7,1,1,1,2,9,0,0,25271.0,Partner,1,3,1
5823,1980,Postgraduate,0.2729634655905146,2014-03-08,63,35,0,2,0,0,2,2,1,0,4,5,0,0,32303.0,Alone,1,2,1
3934,1976,Graduate,0.5317310096067996,2013-08-02,34,356,0,107,19,9,117,2,7,1,8,5,0,0,61286.0,Partner,1,3,1
6982,1986,Graduate,0.6458519338595049,2013-03-19,14,783,30,537,140,76,15,1,4,10,9,2,0,0,74068.0,Partner,0,2,0
6431,1974,Postgraduate,0.3931020320702832,2013-02-23,13,42,1,18,3,0,4,2,2,0,3,7,0,0,45759.0,Partner,2,4,1
9733,1988,Undergraduate,0.20670690332488126,2012-09-09,52,1,4,10,29,0,36,1,1,1,2,6,0,0,24882.0,Partner,1,3,1
5602,1999,Postgraduate,0.5825059819292168,2013-05-17,98,466,22,432,147,113,102,1,8,7,12,3,0,0,66973.0,Partner,0,2,0
7829,1910,Undergraduate,0.31168529695368025,2013-09-26,99,15,6,8,7,4,25,1,2,1,2,5,1,0,36640.0,Alone,1,2,1
1324,1998,Graduate,0.331613156672976,2013-05-30,93,23,3,21,3,19,22,2,3,0,3,8,0,0,38872.0,Partner,1,3,1
326,1983,Graduate,0.44121638512910255,2013-02-18,38,235,6,45,8,9,12,4,5,1,6,6,0,0,51148.0,Partner,2,4,1
7224,1987,Graduate,0.26448162565622657,2013-12-29,24,10,0,10,3,1,7,2,1,1,2,8,0,0,31353.0,Partner,2,4,1
6999,1990,Postgraduate,0.6065051248169707,2014-05-13,80,656,16,106,32,16,8,1,7,3,12,3,0,0,69661.0,Partner,0,2,0
9938,1964,Graduate,0.6994125209813935,2013-09-19,82,519,17,813,27,173,51,1,4,6,6,2,0,0,80067.0,Partner,0,2,0
6422,1964,Graduate,0.7587943287739723,2013-01-17,20,344,189,482,50,33,172,1,5,6,5,2,0,0,86718.0,Partner,0,2,0
3182,1983,Postgraduate,0.4028784686261205,2014-03-31,81,96,1,79,7,1,79,6,5,1,3,8,0,1,46854.0,Alone,2,3,1
7300,1962,Graduate,0.6018713617370808,2014-06-29,50,448,4,34,6,4,39,3,8,1,7,5,0,0,69142.0,Alone,1,2,1
10424,1978,Graduate,0.6624049141102103,2013-12-09,60,265,138,553,224,23,92,1,4,4,9,1,0,0,75922.0,Alone,0,1,0
8727,1988,Graduate,0.5532213135245169,2013-10-14,63,587,43,337,42,87,54,3,11,6,9,6,0,0,63693.0,Alone,1,2,1
2798,1987,Postgraduate,0.8966644048426842,2012-11-02,54,763,29,138,76,176,58,0,7,9,10,4,0,1,102160.0,Partner,0,2,0
1030,1975,Postgraduate,0.34737152244562697,2013-07-17,72,22,0,13,0,0,3,2,1,0,3,7,0,0,40637.0,Alone,2,3,1
